X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   35.5000,    0.0000,   -7.8750,   15.7500, 12.157338,    35, 10000,    28,    21,
   37.0000,    0.0000,   -9.0000,   18.0000, 17.062714,    35, 10000,    27,    19,
   38.5000,    0.0000,  -10.1250,   20.2500, 17.323271,    35, 10000,    26,    17,
   40.0000,    0.0000,  -11.2500,   22.5000, 19.709442,    35, 10000,    25,    15,
   41.5000,    0.0000,  -12.3750,   24.7500, 24.457947,    35, 10000,    24,    13,
   43.0000,    0.0000,  -13.5000,   27.0000, 23.399775,    35, 10000,    23,    11,
   44.5000,    0.0000,  -14.6250,   29.2500, 22.073187,    35, 10000,    22,     9,
   46.0000,    0.0000,  -15.7500,   31.5000, 20.960838,    35, 10000,    21,     7,
   47.5000,    0.0000,  -16.8750,   33.7500, 23.853786,    35, 10000,    20,     5,
   49.0000,    0.0000,  -18.0000,   36.0000, 23.790836,    35, 10000,    19,     3,
   50.5000,    0.0000,  -19.1250,   38.2500, 24.826410,    35, 10000,    18,     1,
   25.0000,    0.0000,   -1.1250,    2.2500, 13.224340,    36, 10000,    35,    34,
   26.5000,    0.0000,   -2.2500,    4.5000,  7.821582,    36, 10000,    34,    32,
   28.0000,    0.0000,   -3.3750,    6.7500,  8.504769,    36, 10000,    33,    30,
   29.5000,    0.0000,   -4.5000,    9.0000, 10.402958,    36, 10000,    32,    28,
   31.0000,    0.0000,   -5.6250,   11.2500, 10.284695,    36, 10000,    31,    26,
   32.5000,    0.0000,   -6.7500,   13.5000,  8.436592,    36, 10000,    30,    24,
   34.0000,    0.0000,   -7.8750,   15.7500,  7.631136,    36, 10000,    29,    22,
   35.5000,    0.0000,   -9.0000,   18.0000,  8.821356,    36, 10000,    28,    20,
   37.0000,    0.0000,  -10.1250,   20.2500, 12.426438,    36, 10000,    27,    18,
   38.5000,    0.0000,  -11.2500,   22.5000, 12.175615,    36, 10000,    26,    16,
   40.0000,    0.0000,  -12.3750,   24.7500, 14.983165,    36, 10000,    25,    14,
   41.5000,    0.0000,  -13.5000,   27.0000, 17.454144,    36, 10000,    24,    12,
   43.0000,    0.0000,  -14.6250,   29.2500, 16.854509,    36, 10000,    23,    10,
   44.5000,    0.0000,  -15.7500,   31.5000, 16.468735,    36, 10000,    22,     8,
   46.0000,    0.0000,  -16.8750,   33.7500, 15.730184,    36, 10000,    21,     6,
   47.5000,    0.0000,  -18.0000,   36.0000, 17.401365,    36, 10000,    20,     4,
   49.0000,    0.0000,  -19.1250,   38.2500, 17.162159,    36, 10000,    19,     2,
   23.5000,    0.0000,   -1.1250,    2.2500, 10.520958,    37, 10000,    36,    35,
